1,0.14,4,4,0.0521,-6.055,267267,0.891,266,0.82,0.202,spotify:track:1AWQoqb9bSvzTjaLralEkT,13,0.714,100.972,0.000234,0,1,Justin Timberlake,Rock Your Body
2,0.0555,10,4,0.0853,-5.416,222040,0.741,221,0.362,0.0398,spotify:track:7AUfOfYTfiHhgg2Pw1aTpw,13,0.575,93.992,0.127,0,2,Jennifer Lopez,I'm Glad
3,0.216,3,4,0.0504,-6.562,205000,0.676,203,0.533,0.0241,spotify:track:5UrbZaqIsclBE9IAcnG43M,13,0.561,89.947,0,0,3,B2K,Girlfriend
4,0.301,1,4,0.0518,-4.857,280053,0.691,229,0.877,0.0186,spotify:track:6JW8DqCEOWaj8z5AIx4ugf,13,0.858,92.773,0,1,4,Jay-Z,Excuse Me Miss
5,0.244,5,4,0.0908,-7.114,268333,0.573,218,0.578,0.00029,spotify:track:5DLkPmyenHS2uJclC8nPCA,13,0.606,176.449,0,0,5,Ginuwine featuring Baby,Hell Yeah
6,0.331,6,4,0.106,-4.959,251373,0.582,237,0.66,0.0438,spotify:track:7tDbbfzB1d52lWP8rq8zRZ,13,0.855,104.963,0,1,6,Joe Budden,Pump It Up
7,0.182,6,4,0.0666,-3.914,253720,0.837,248,0.703,0.103,spotify:track:2NPxL1QqPrD1a7OLHjVcAP,13,0.885,95.313,0,0,7,Nas,I Can
8,0.0356,5,4,0.288,-8.443,245063,0.677,246,0.184,0.395,spotify:track:02y3FRLRlmzIpi2y8ZbN2w,13,0.422,130.2,0,0,8,Frankie J,Don't Wanna Try
9,0.0318,10,4,0.105,-7.705,257160,0.682,242,0.264,0.555,spotify:track:4gJoAvFpDvaeqm2EKYGmhb,13,0.547,120,0,1,9,Daniel Bedingfield,If You're Not the One
10,0.0557,1,4,0.233,-4.346,225427,0.685,223,0.852,0.00321,spotify:track:1oJSAzNyTUCm36zhFYMcAZ,13,0.878,88.027,0,1,10,Counting Crows featuring Vanessa Carlton,Big Yellow Taxi
11,0.0262,5,4,0.143,-6.843,263867,0.599,263,0.282,0.0145,spotify:track:2Ms33RTRCT6gArrpcrPxmo,13,0.732,97.989,0.000467,1,11,Robbie Williams,Feel
12,0.307,4,4,0.334,-3.634,221587,0.377,222,0.587,0.0747,spotify:track:2ptt0Eftq3b2jElTRrctrT,13,0.904,200.566,0,0,12,Stacie Orrico,Stuck
13,0.0286,7,4,0.0979,-3.819,225000,0.563,217,0.632,0.00028,spotify:track:155HKSO2ac9yrE4zGbvVaW,13,0.91,110.839,0.00029,1,13,Lisa Marie Presley,Lights Out
14,0.0465,2,4,0.266,-5.688,197800,0.582,196,0.858,0.000517,spotify:track:0KqyBk4aVT88TEqBIC8mAP,13,0.829,130.969,0,1,14,Bowling for Soup,Girl All the Bad Guys Want
15,0.0603,8,4,0.127,-4.644,230667,0.566,229,0.861,0.00505,spotify:track:3B9W8NK6FiaNZCZFIzLdwo,13,0.832,175.028,0,1,15,The Ataris,In This Diary
16,0.0904,8,4,0.359,-5.464,198493,0.356,196,0.68,0.00014,spotify:track:17XgxMFNzBYv38TEJRC18D,13,0.929,173.413,0.00674,0,16,Sum 41,The Hell Song
17,0.0398,11,4,0.0644,-3.617,252360,0.468,250,0.287,0.000281,spotify:track:6dRAAG4sB71NAtVCHJep7s,13,0.851,92.079,0.00483,1,17,Chevelle,Send the Pain Below
18,0.0276,4,4,0.127,-6.338,239800,0.47,238,0.343,0.000315,spotify:track:2C1m7Lw5cUpFWUkN6Tovik,13,0.687,87.995,0.00000706,0,18,3 Doors Down,The Road I'm On
19,0.0236,6,4,0.161,-5.75,274480,0.692,225,0.333,0.0279,spotify:track:21GwG8Alj5Duat0I0IkE9R,13,0.661,110.161,0.00000294,0,19,Godsmack,Serenity
20,0.0279,5,4,0.183,-7.215,307880,0.577,250,0.271,0.599,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,13,0.749,130.969,0.0112,0,20,Coldplay,Clocks
21,0.0374,10,4,0.101,-6.893,233867,0.701,233,0.403,0.0536,spotify:track:2hQU8LNZFUcXLUwqeABX3K,21,0.542,143.595,0,0,1,Mariah Carey,Don't Forget About Us
22,0.052,9,4,0.0778,-6.299,207507,0.652,208,0.38,0.289,spotify:track:4NjR63Up0uMkQBlKvlZd1l,21,0.551,79.995,0,1,2,The Pussycat Dolls,Stickwitu
23,0.266,4,4,0.361,-7.305,271160,0.862,270,0.82,0.0406,spotify:track:0Aqlt4N5h6rUtKnd09VXpr,21,0.515,82.99,0,0,3,Nelly featuring Paul Wall and Ali & Gipp,Grillz
24,0.102,1,4,0.387,-6.684,229867,0.85,192,0.228,0.0246,spotify:track:6SPD3JwwRejBhCDiQAQ4he,21,0.482,100.957,0,0,4,Chris Brown,Run It!
25,0.223,4,4,0.111,-5.987,326960,0.8,223,0.611,0.12,spotify:track:19JdbdEwQI7bCxefMokZO8,21,0.688,123.929,0.00000405,1,5,The Black Eyed Peas,My Humps
26,0.259,8,4,0.0399,-7.424,208107,0.51,206,0.703,0.128,spotify:track:4x2rgtSFOI4hRvEvDj02KP,21,0.693,96.052,0,1,6,Rihanna,If It's Lovin' That You Want
27,0.316,10,4,0.162,-5.653,270147,0.766,228,0.492,0.0649,spotify:track:7DYjzYtHHQExgtzgY04ZDc,21,0.606,160.136,0,0,7,Bow Wow featuring J-Kwon and Jermaine Dupri,Fresh AZIMIZ
28,0.307,5,4,0.1,-5.854,229813,0.886,228,0.613,0.082,spotify:track:7cVmKBwzPsh4Fmb6SplfEm,21,0.62,76.035,0,1,8,Dem Franchize Boyz featuring Peanut and Charlay,"Lean wit It, Rock wit It"
29,0.0326,10,4,0.376,-11.223,275133,0.725,215,0.526,0.038,spotify:track:7BRPQ2kmto0FBXCV7aXqeh,21,0.622,106.596,0.0136,1,9,Three 6 Mafia featuring Young Buck and Eightball & MJG,Stay Fly
30,0.108,0,4,0.081,-11.617,230713,0.722,185,0.172,0.088,spotify:track:0F7rEdewJ6cSLylOZZpDu7,21,0.329,99.991,0,0,10,T-Pain,I'm Sprung
31,0.302,5,4,0.341,-7.22,337640,0.524,237,0.63,0.27,spotify:track:6QON2WlAI1QayzhgebwvWd,21,0.635,127.618,0,0,11,Ray J,One Wish
32,0.0314,5,4,0.123,-5.362,219493,0.583,219,0.136,0.254,spotify:track:3f3omU8n47Mqyab5nCaGyT,21,0.584,140.039,0,0,12,Kelly Clarkson,Because of You
33,0.0399,5,4,0.0822,-6.333,259333,0.706,231,0.633,0.00577,spotify:track:1D1nixOVWOxvNfWi0UD7VX,21,0.801,100.013,0,1,13,Natasha Bedingfield,Unwritten
34,0.0292,8,4,0.136,-3.756,258920,0.513,231,0.405,0.000932,spotify:track:2wdEXKLcuU7B0M2gqFmABH,21,0.877,145.919,0.000163,1,14,Nickelback,Photograph
35,0.0466,10,4,0.667,-4.256,193653,0.453,193,0.459,0.0004,spotify:track:5lDriBxJd22IhOH9zTcFrV,21,0.942,143.85,0.00000265,1,15,The All-American Rejects,Dirty Little Secret
36,0.139,11,4,0.078,-3.144,180267,0.616,179,0.531,0.00494,spotify:track:0a7BloCiNzLDD9qSQHh5m7,21,0.961,114.492,0,0,16,Fall Out Boy,"Dance, Dance"
37,0.0943,3,4,0.102,-3.493,232267,0.397,232,0.481,0.00258,spotify:track:4lw2PwlgeQVyNRmm3aeX6X,21,0.903,166.865,0,1,17,Relient K,Who I Am Hates Who I've Been
38,0.0372,11,4,0.298,-5.852,245000,0.76,211,0.964,0.0226,spotify:track:4Hff1IjRbLGeLgFgxvHflk,21,0.891,120.265,0.0868,0,18,Gorillaz,Dare
39,0.108,11,4,0.225,-5.317,240093,0.536,239,0.634,0.399,spotify:track:1VdHooAMVaGXPSty8pifv9,21,0.943,123.759,0.0000227,0,19,Trace Adkins,Honky Tonk Badonkadonk
40,0.052,8,4,0.41,-5.373,196467,0.635,197,0.485,0.00474,spotify:track:1eOHw1k2AoluG4VyjBHLzX,21,0.974,142.049,0.0000156,1,20,Cascada,Everytime We Touch
41,0.226,2,4,0.0715,-6.596,236133,0.646,235,0.687,0.00249,spotify:track:5IVuqXILoxVWvWEPm82Jxr,14,0.77,99.165,0,0,1,Beyoncé featuring Jay-Z,Crazy in Love
42,0.193,5,4,0.137,-3.219,272533,0.835,229,0.831,0.104,spotify:track:3CNqo3gYrfexdrtjFmC9he,14,0.706,94.086,0,1,2,The Black Eyed Peas featuring Justin Timberlake,Where Is the Love?
43,0.103,4,4,0.286,-6.413,209490,0.833,206,0.731,0.207,spotify:track:3Gamc2D6VSlXpUcmhPUFYt,14,0.677,132.876,0.00000392,1,3,Mýa,My Love Is Like...Wo
44,0.362,6,4,0.0798,-6.197,184907,0.811,182,0.796,0.0391,spotify:track:1AjQE5MtP5jHQMyDepbvLI,14,0.657,199.958,0.712,1,4,Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)"
45,0.253,2,4,0.0591,-3.977,249800,0.866,216,0.878,0.15,spotify:track:0l3GEbH3CviUytD6iX4wzg,14,0.749,92.077,0,1,5,Chingy,Right Thurr
46,0.315,10,4,0.149,-7.035,224667,0.929,224,0.897,0.102,spotify:track:6njG8EYG1lrROn8P6q46eq,14,0.595,94.997,0,0,6,Murphy Lee featuring Jermaine Dupri,Wat Da Hook Gon Be
47,0.31,1,4,0.0724,-5.575,221240,0.585,220,0.947,0.266,spotify:track:44ssa5Vilw1qJ79wZKfZgx,14,0.625,87.055,0.0000482,1,7,R. Kelly,Thoia Thoing
48,0.273,1,4,0.0701,-4.453,261333,0.878,259,0.774,0.103,spotify:track:5K6x90WnljxSWJwSA5Jj6i,14,0.63,104.879,0,1,8,Bow Wow featuring Baby,Let's Get Down
49,0.0442,1,4,0.0742,-5.351,294867,0.841,274,0.873,0.0729,spotify:track:0aj2QKJvz6CePykmlTApiD,14,0.629,97.963,0,1,9,Justin Timberlake,Señorita
50,0.121,0,4,0.0632,-3.628,226027,0.803,209,0.719,0.0107,spotify:track:1HCPjfa02m5JwcO37LHfYb,14,0.773,91.915,0,1,10,Thalía featuring Fat Joe,I Want You
51,0.26,5,4,0.114,-3.071,243493,0.694,238,0.501,0.635,spotify:track:14B2bUopOga5V3ypld7d6n,14,0.752,82.529,0.00000644,0,11,Baby Bash featuring Frankie J.,Suga Suga
52,0.0776,1,4,0.0753,-5.873,243307,0.691,242,0.334,0.508,spotify:track:5ojJNnX5ND2gMGojPd3NiO,14,0.541,127.683,0,1,12,Ginuwine,In Those Jeans
53,0.225,10,4,0.0535,-6.123,270880,0.67,228,0.51,0.573,spotify:track:06ZDLodo1UDVavc3MXREZ3,14,0.616,120.129,0,1,13,Jagged Edge,Walked Outta Heaven
54,0.0958,1,4,0.189,-3.785,200387,0.58,199,0.676,0.0917,spotify:track:2x5qF66rFO6DERBMNkQAqn,14,0.922,89.841,0,1,14,Stacie Orrico,(There's Gotta Be) More to Life
55,0.0405,11,4,0.165,-4.849,208360,0.487,207,0.238,0.0273,spotify:track:4z4PB23xYTg1oANmyZovsw,14,0.759,80.958,0,1,15,Liz Phair,Why Can't I?
56,0.0413,11,4,0.0808,-4.927,197987,0.774,195,0.901,0.0021,spotify:track:27L8sESb3KR79asDUBu8nW,14,0.75,118.015,0.0000185,0,16,Fountains of Wayne,Stacy's Mom
57,0.0331,3,4,0.358,-5.497,183493,0.663,181,0.609,0.00212,spotify:track:65mxB9IWpmVo4qUjdGSxRB,14,0.72,135.342,0,1,17,Good Charlotte,Girls & Boys
58,0.0691,6,4,0.0975,-2.879,258000,0.251,241,0.269,0.000674,spotify:track:5BmagRD7Thki6O1zZwbxBy,14,0.954,191.059,0.000132,1,18,The Ataris,The Boys of Summer
59,0.0391,11,4,0.226,-5.659,207467,0.455,205,0.574,0.000616,spotify:track:4PkJ7c9y1CwpuVOiJODnCZ,14,0.858,163.118,0.000247,0,19,Nickelback,Someday
60,0.0248,10,4,0.134,-6.733,238560,0.536,234,0.227,0.0537,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,14,0.55,144.018,0,0,20,3 Doors Down,Here Without You
61,0.0302,11,4,0.325,-4.431,225867,0.597,226,0.8,0.00368,spotify:track:2fOxxLz9JVe53itq6pfBak,15,0.762,126.325,0.00117,1,1,No Doubt,It's My Life
62,0.121,5,4,0.241,-3.925,198813,0.774,198,0.928,0.0279,spotify:track:717TY4sfgKQm4kFbYQIzgo,15,0.847,143.011,0.0183,0,2,Britney Spears,Toxic
63,0.357,6,4,0.111,-4.774,213760,0.745,213,0.783,0.358,spotify:track:2CtCwQhY0ZLvr8L2l8Bo6e,15,0.841,97.909,0,1,3,Ludacris featuring Shawnna,Stand Up
64,0.154,1,4,0.118,-6.911,469333,0.882,269,0.652,0.0912,spotify:track:2eRq2PrQH1RzCvF6f0t4cc,15,0.663,122.67,0,1,4,Chingy featuring Ludacris and Snoop Dogg,Holidae In
65,0.183,9,4,0.292,-5.185,270240,0.834,269,0.746,0.0897,spotify:track:3UvpMz4mNB6SEKCdaBT6qO,15,0.664,95.079,0,0,5,Westside Connection featuring Nate Dogg,Gangsta Nation
66,0.172,1,4,0.0728,-5.328,254173,0.773,220,0.923,0.134,spotify:track:11vB24DiDhGZZmW7WzCmxr,15,0.824,94.998,0,0,6,Sarah Connor,Bounce
67,0.266,2,4,0.28,-3.96,296187,0.807,224,0.594,0.0894,spotify:track:6diFcq4UcYDlBeRVqOCWY1,15,0.693,112.977,0,1,7,The Black Eyed Peas,Shut Up
68,0.102,4,4,0.0662,-6.11,237840,0.896,237,0.657,0.273,spotify:track:1T1ZUKX4X87tVLaBGjwFv4,15,0.552,93.001,0,0,8,Nick Cannon featuring R. Kelly,Gigolo
69,0.0803,1,4,0.137,-9.092,301133,0.75,301,0.53,0.226,spotify:track:6XsT5UGfpaFeHQf5LRIy4W,15,0.458,83.61,0.0000325,1,9,Beyoncé,"Me, Myself and I"
70,0.122,9,4,0.258,-7.03,226493,0.754,197,0.784,0.36,spotify:track:5W1L4M0wc0ZNFKiHp3rRLK,15,0.614,149.297,0.0000395,0,10,Baby Bash featuring Perla Cruz & Russell Lee,Shorty Doowop
71,0.0653,0,4,0.0404,-6.245,225107,0.828,224,0.567,0.214,spotify:track:1p5kC161fWMA2QlwV3Vi4W,15,0.653,68.507,0.00000325,0,11,Eamon,I Don't Want You Back
72,0.108,0,4,0.215,-4.583,191827,0.553,189,0.596,0.0923,spotify:track:7pNJ1T9TGbVbNHKaLhhPri,15,0.756,94.487,0,1,12,Jessica Simpson,With You
73,0.031,8,4,0.106,-13.797,200627,0.526,199,0.67,0.941,spotify:track:7zkLpY72g6lKQbiHDqri1S,15,0.299,156.848,0.097,1,13,Norah Jones,Sunrise
74,0.0248,2,4,0.0728,-7.52,230973,0.638,224,0.557,0.759,spotify:track:4PzPvpE63ttEbKyMDRWB6q,15,0.336,78.86,0,1,14,Sheryl Crow,The First Cut Is the Deepest
75,0.0361,11,4,0.15,-5.554,251960,0.52,221,0.434,0.013,spotify:track:0QRcOtv4LE9C2QTfbbkL1e,15,0.688,160.108,0.00000441,0,15,Fefe Dobson,Everything
76,0.0421,6,4,0.139,-5.157,231480,0.498,230,0.423,0.00461,spotify:track:6rUp7v3l8yC4TKxAAR5Bmx,15,0.83,89.342,0,0,16,Three Days Grace,(I Hate) Everything About You
77,0.0901,4,4,0.504,-5.893,172646,0.417,173,0.58,0.102,spotify:track:26AYR77170U49cMcXB7aRV,15,0.956,173.108,0,1,17,Blink-182,Feeling This
78,0.0769,1,4,0.113,-5.354,245600,0.424,243,0.16,0.000884,spotify:track:3UyL1yzD5B1nIaFJRs4W8r,15,0.937,137.861,0,1,18,Good Charlotte,Hold On
79,0.0367,9,4,0.107,-6.484,254347,0.327,250,0.172,0.000097,spotify:track:1t6n18rlXyic8yohYQ1UGY,15,0.793,164.262,0.239,0,19,Fuel,Falls on Me
80,0.0279,7,4,0.264,-7.482,244667,0.636,246,0.291,0.586,spotify:track:5OVofGV3opkR1hq0C9RSCu,15,0.561,120.471,0.0000151,1,20,Five for Fighting,100 Years
81,0.116,2,4,0.291,-2.741,199693,0.755,198,0.719,0.0746,spotify:track:5OMwQFBcte0aWFJFqrr5oj,33,0.832,120.032,0.00000127,0,1,Kesha,Tik Tok
82,0.0391,0,4,0.0831,-3.75,294573,0.697,258,0.72,0.00305,spotify:track:5P5cGNzqh6A353N3ShDK6Y,33,0.921,118.99,0.0000365,1,2,Lady Gaga,Bad Romance
83,0.0385,1,4,0.696,-3.588,250600,0.569,249,0.189,0.0117,spotify:track:3YJkAQNEhmCZGLdmPsu6Ye,33,0.755,91.022,0,1,3,Rihanna featuring Jeezy,Hard
84,0.033,0,4,0.348,-4.15,199027,0.762,196,0.837,0.0266,spotify:track:0TyOpxlWwDx98bjkIVHUgY,33,0.748,110.009,0,0,4,Jason Derulo,In My Head
85,0.318,5,5,0.289,-3.238,235987,0.521,236,0.44,0.168,spotify:track:3vNiHPIipR4a4bZKA288CD,33,0.849,122.852,0,1,5,Snoop Dogg,I Wanna Rock
86,0.225,8,4,0.141,-6.089,288133,0.732,288,0.571,0.109,spotify:track:3iL2l5gUqyPS6vDwJFgJTR,33,0.659,148.001,0,1,6,Young Money featuring Lloyd,BedRock
87,0.085,11,4,0.118,-4.88,210307,0.854,207,0.773,0.0278,spotify:track:7yws3pF3FFguwT2Psi6c15,33,0.664,125.84,0,1,7,Jay Sean featuring Sean Paul and Lil Jon,Do You Remember
88,0.0708,9,4,0.168,-6.323,182307,0.706,180,0.189,0.173,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,33,0.751,91.031,0,1,8,Iyaz,Replay
89,0.0417,3,4,0.133,-6.72,228347,0.591,225,0.482,0.0294,spotify:track:3DamFFqW32WihKkTVlwTYQ,33,0.649,90.002,0,1,9,Owl City,Fireflies
90,0.0436,1,4,0.086,-4.432,216667,0.675,213,0.775,0.217,spotify:track:0KpfYajJVVGgQ32Dby7e9i,33,0.885,97.03,0,0,10,Train,"Hey, Soul Sister"
91,0.0299,5,4,0.437,-3.45,206413,0.434,204,0.321,0.0534,spotify:track:4gWTBq5Jftq5CEKYpLXD8R,33,0.764,51.316,0,1,11,Daughtry,Life After You
92,0.0443,0,4,0.287,-2.501,212747,0.578,208,0.943,0.0267,spotify:track:51YhN4y2tOvfI0Sv1hoBRo,33,0.9,92.011,0,1,12,Kris Allen,Live Like We're Dying
93,0.0489,11,4,0.0593,-4.732,227320,0.44,224,0.451,0.00706,spotify:track:2rDwdvBma1O1eLzo29p2cr,33,0.683,185.948,0,0,13,Adam Lambert,Whataya Want from Me
94,0.0558,5,4,0.0965,-2.526,200347,0.607,197,0.563,0.0221,spotify:track:72phhQtfwZcRweweRxxkmU,33,0.922,130.972,0.0000204,1,14,Orianthi,According to You
95,0.0303,4,4,0.2,-5.535,277573,0.587,232,0.225,0.0927,spotify:track:11EX5yhxr9Ihl3IN1asrfK,33,0.622,107.943,0.000636,1,15,Lady Antebellum,Need You Now
96,,,,,,,,251,,,,33,,,,,16,Taylor Swift,Fearless
97,0.0657,9,4,0.133,-3.849,216712,0.609,213,0.394,0.0389,spotify:track:72i7uzzu8ImxvCxK6AX4bX,33,0.719,128.027,0,0,17,Ashlyne Huff,Heart of Gold
98,0.0312,11,4,0.0987,-8.029,222907,0.608,219,0.228,0.321,spotify:track:5gdafBEy4PNf3HusHh3qzu,33,0.698,139.989,0.000483,1,18,Jamie Cullum,Wheels
99,,,,,,,,208,,,,33,,,,,19,Jaicko,Fast Forward
100,0.055,4,4,0.233,-4.683,,,,,,,,,,,,,,
